ENSEMBL_RNOR,Symbol
ENSRNOG00000039592,1700066B19Rik
ENSRNOG00000023430,2310003L06Rik
ENSRNOG00000059513,2310003L06Rik
ENSRNOG00000007003,37012
ENSRNOG00000050354,37013
ENSRNOG00000017804,37135
ENSRNOG00000056691,37136
ENSRNOG00000017952,37500
ENSRNOG00000056783,37501
ENSRNOG00000007686,37865
ENSRNOG00000050898,37866
ENSRNOG00000023794,38108
ENSRNOG00000059616,38109
ENSRNOG00000007367,38231
ENSRNOG00000050623,38232
ENSRNOG00000006545,39326
ENSRNOG00000050003,39327
ENSRNOG00000007462,39692
ENSRNOG00000050705,39693
ENSRNOG00000002807,40057
ENSRNOG00000047062,40058
ENSRNOG00000002182,40787
ENSRNOG00000046596,40788
ENSRNOG00000003137,41153
ENSRNOG00000047341,41154
ENSRNOG00000038495,41883
ENSRNOG00000026152,4930513O06Rik
ENSRNOG00000060387,4930513O06Rik
ENSRNOG00000039624,4930596D02Rik
ENSRNOG00000026227,4931400O07Rik
ENSRNOG00000060412,4931400O07Rik
ENSRNOG00000022632,4933416C03Rik
ENSRNOG00000059248,4933416C03Rik
ENSRNOG00000037368,4933427I04Rik
ENSRNOG00000034316,5S_rRNA
ENSRNOG00000034350,5S_rRNA
ENSRNOG00000034354,5S_rRNA
ENSRNOG00000034366,5S_rRNA
ENSRNOG00000034413,5S_rRNA
ENSRNOG00000034421,5S_rRNA
ENSRNOG00000034458,5S_rRNA
ENSRNOG00000034498,5S_rRNA
ENSRNOG00000034503,5S_rRNA
ENSRNOG00000034513,5S_rRNA
ENSRNOG00000034530,5S_rRNA
ENSRNOG00000034535,5S_rRNA
ENSRNOG00000034597,5S_rRNA
ENSRNOG00000034612,5S_rRNA
ENSRNOG00000034695,5S_rRNA
ENSRNOG00000034753,5S_rRNA
ENSRNOG00000034772,5S_rRNA
ENSRNOG00000034781,5S_rRNA
ENSRNOG00000034790,5S_rRNA
ENSRNOG00000034799,5S_rRNA
ENSRNOG00000034905,5S_rRNA
ENSRNOG00000034920,5S_rRNA
ENSRNOG00000034938,5S_rRNA
ENSRNOG00000035046,5S_rRNA
ENSRNOG00000035103,5S_rRNA
ENSRNOG00000035114,5S_rRNA
ENSRNOG00000035148,5S_rRNA
ENSRNOG00000035171,5S_rRNA
ENSRNOG00000035238,5S_rRNA
ENSRNOG00000035243,5S_rRNA
ENSRNOG00000035293,5S_rRNA
ENSRNOG00000035312,5S_rRNA
ENSRNOG00000035323,5S_rRNA
ENSRNOG00000035357,5S_rRNA
ENSRNOG00000035416,5S_rRNA
ENSRNOG00000035437,5S_rRNA
ENSRNOG00000035686,5S_rRNA
ENSRNOG00000035837,5S_rRNA
ENSRNOG00000035854,5S_rRNA
ENSRNOG00000035926,5S_rRNA
ENSRNOG00000035957,5S_rRNA
ENSRNOG00000035961,5S_rRNA
ENSRNOG00000035975,5S_rRNA
ENSRNOG00000036044,5S_rRNA
ENSRNOG00000036071,5S_rRNA
ENSRNOG00000036145,5S_rRNA
ENSRNOG00000036163,5S_rRNA
ENSRNOG00000036194,5S_rRNA
ENSRNOG00000036200,5S_rRNA
ENSRNOG00000036453,5S_rRNA
ENSRNOG00000040532,5S_rRNA
ENSRNOG00000040652,5S_rRNA
ENSRNOG00000040715,5S_rRNA
ENSRNOG00000040749,5S_rRNA
ENSRNOG00000040821,5S_rRNA
ENSRNOG00000040834,5S_rRNA
ENSRNOG00000040878,5S_rRNA
ENSRNOG00000041010,5S_rRNA
ENSRNOG00000041036,5S_rRNA
ENSRNOG00000041053,5S_rRNA
ENSRNOG00000041652,5S_rRNA
ENSRNOG00000041670,5S_rRNA
ENSRNOG00000041673,5S_rRNA
ENSRNOG00000041675,5S_rRNA
ENSRNOG00000041679,5S_rRNA
ENSRNOG00000041705,5S_rRNA
ENSRNOG00000041708,5S_rRNA
ENSRNOG00000041720,5S_rRNA
ENSRNOG00000041721,5S_rRNA
ENSRNOG00000041723,5S_rRNA
ENSRNOG00000041725,5S_rRNA
ENSRNOG00000041728,5S_rRNA
ENSRNOG00000041735,5S_rRNA
ENSRNOG00000041737,5S_rRNA
ENSRNOG00000041762,5S_rRNA
ENSRNOG00000041764,5S_rRNA
ENSRNOG00000041777,5S_rRNA
ENSRNOG00000041822,5S_rRNA
ENSRNOG00000041834,5S_rRNA
ENSRNOG00000041845,5S_rRNA
ENSRNOG00000041847,5S_rRNA
ENSRNOG00000041851,5S_rRNA
ENSRNOG00000041852,5S_rRNA
ENSRNOG00000041857,5S_rRNA
ENSRNOG00000041864,5S_rRNA
ENSRNOG00000041865,5S_rRNA
ENSRNOG00000041877,5S_rRNA
ENSRNOG00000041881,5S_rRNA
ENSRNOG00000041892,5S_rRNA
ENSRNOG00000041894,5S_rRNA
ENSRNOG00000041897,5S_rRNA
ENSRNOG00000041913,5S_rRNA
ENSRNOG00000041942,5S_rRNA
ENSRNOG00000041962,5S_rRNA
ENSRNOG00000041968,5S_rRNA
ENSRNOG00000041970,5S_rRNA
ENSRNOG00000041974,5S_rRNA
ENSRNOG00000041998,5S_rRNA
ENSRNOG00000041999,5S_rRNA
ENSRNOG00000042007,5S_rRNA
